row,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
845,845,fri_c0_1000_10,2,2,active,ARFF,509.0,2.0,491.0,2.0,11.0,1000.0,0.0,0.0,10.0,1.0
846,846,elevators,2,2,active,ARFF,11469.0,2.0,5130.0,2.0,19.0,16599.0,0.0,0.0,18.0,1.0
847,847,wind,2,2,active,ARFF,3501.0,2.0,3073.0,2.0,15.0,6574.0,0.0,0.0,14.0,1.0
848,848,schlvote,2,2,active,ARFF,28.0,2.0,10.0,2.0,6.0,38.0,0.0,0.0,4.0,2.0
849,849,fri_c0_1000_25,2,2,active,ARFF,503.0,2.0,497.0,2.0,26.0,1000.0,0.0,0.0,25.0,1.0
850,850,fri_c0_100_50,2,2,active,ARFF,51.0,2.0,49.0,2.0,51.0,100.0,0.0,0.0,50.0,1.0
851,851,tecator,2,2,active,ARFF,138.0,2.0,102.0,2.0,125.0,240.0,0.0,0.0,124.0,1.0
852,852,analcatdata_gsssexsurvey,2,2,active,ARFF,124.0,2.0,35.0,2.0,10.0,159.0,6.0,6.0,4.0,6.0
853,853,boston,2,2,active,ARFF,297.0,2.0,209.0,2.0,14.0,506.0,0.0,0.0,12.0,2.0
855,855,fri_c4_500_10,2,2,active,ARFF,276.0,2.0,224.0,2.0,11.0,500.0,0.0,0.0,10.0,1.0
857,857,bolts,2,2,active,ARFF,26.0,2.0,14.0,2.0,8.0,40.0,0.0,0.0,7.0,1.0
859,859,analcatdata_gviolence,2,2,active,ARFF,43.0,2.0,31.0,2.0,10.0,74.0,0.0,0.0,8.0,2.0
860,860,vinnie,2,2,active,ARFF,195.0,2.0,185.0,2.0,3.0,380.0,0.0,0.0,2.0,1.0
862,862,sleuth_ex2016,2,2,active,ARFF,45.0,2.0,42.0,2.0,11.0,87.0,0.0,0.0,8.0,3.0
863,863,fri_c4_250_10,2,2,active,ARFF,133.0,2.0,117.0,2.0,11.0,250.0,0.0,0.0,10.0,1.0
864,864,sleuth_ex2015,2,2,active,ARFF,33.0,2.0,27.0,2.0,8.0,60.0,0.0,0.0,6.0,2.0
865,865,analcatdata_neavote,2,2,active,ARFF,93.0,3.0,7.0,2.0,4.0,100.0,0.0,0.0,1.0,3.0
866,866,fri_c2_1000_50,2,2,active,ARFF,582.0,2.0,418.0,2.0,51.0,1000.0,0.0,0.0,50.0,1.0
867,867,visualizing_livestock,2,2,active,ARFF,105.0,26.0,25.0,2.0,3.0,130.0,0.0,0.0,0.0,3.0
868,868,fri_c4_100_25,2,2,active,ARFF,54.0,2.0,46.0,2.0,26.0,100.0,0.0,0.0,25.0,1.0
869,869,fri_c2_500_10,2,2,active,ARFF,286.0,2.0,214.0,2.0,11.0,500.0,0.0,0.0,10.0,1.0
870,870,fri_c1_500_5,2,2,active,ARFF,267.0,2.0,233.0,2.0,6.0,500.0,0.0,0.0,5.0,1.0
871,871,pollen,2,2,active,ARFF,1924.0,2.0,1924.0,2.0,6.0,3848.0,0.0,0.0,5.0,1.0
873,873,fri_c3_250_50,2,2,active,ARFF,142.0,2.0,108.0,2.0,51.0,250.0,0.0,0.0,50.0,1.0
874,874,rabe_131,2,2,active,ARFF,29.0,2.0,21.0,2.0,6.0,50.0,0.0,0.0,5.0,1.0
875,875,analcatdata_chlamydia,2,2,active,ARFF,81.0,10.0,19.0,2.0,4.0,100.0,0.0,0.0,0.0,4.0
876,876,fri_c1_100_50,2,2,active,ARFF,56.0,2.0,44.0,2.0,51.0,100.0,0.0,0.0,50.0,1.0
877,877,fri_c2_250_50,2,2,active,ARFF,137.0,2.0,113.0,2.0,51.0,250.0,0.0,0.0,50.0,1.0
878,878,fri_c4_100_10,2,2,active,ARFF,53.0,2.0,47.0,2.0,11.0,100.0,0.0,0.0,10.0,1.0
879,879,fri_c2_500_25,2,2,active,ARFF,304.0,2.0,196.0,2.0,26.0,500.0,0.0,0.0,25.0,1.0
880,880,mu284,2,2,active,ARFF,142.0,2.0,142.0,2.0,11.0,284.0,0.0,0.0,10.0,1.0
881,881,mv,2,2,active,ARFF,24321.0,3.0,16447.0,2.0,11.0,40768.0,0.0,0.0,7.0,4.0
882,882,pollution,2,2,active,ARFF,31.0,2.0,29.0,2.0,16.0,60.0,0.0,0.0,15.0,1.0
884,884,fri_c0_500_5,2,2,active,ARFF,251.0,2.0,249.0,2.0,6.0,500.0,0.0,0.0,5.0,1.0
885,885,transplant,2,2,active,ARFF,83.0,2.0,48.0,2.0,4.0,131.0,0.0,0.0,3.0,1.0
886,886,no2,2,2,active,ARFF,251.0,2.0,249.0,2.0,8.0,500.0,0.0,0.0,7.0,1.0
887,887,mbagrade,2,2,active,ARFF,32.0,2.0,29.0,2.0,3.0,61.0,0.0,0.0,1.0,2.0
888,888,fri_c0_500_50,2,2,active,ARFF,256.0,2.0,244.0,2.0,51.0,500.0,0.0,0.0,50.0,1.0
889,889,fri_c0_100_25,2,2,active,ARFF,50.0,2.0,50.0,2.0,26.0,100.0,0.0,0.0,25.0,1.0
891,891,sleuth_case1202,2,2,active,ARFF,57.0,5.0,36.0,2.0,7.0,93.0,0.0,0.0,4.0,3.0
892,892,sleuth_case1201,2,2,active,ARFF,26.0,2.0,24.0,2.0,8.0,50.0,0.0,0.0,6.0,2.0
893,893,visualizing_hamster,2,2,active,ARFF,40.0,2.0,33.0,2.0,6.0,73.0,0.0,0.0,5.0,1.0
894,894,rabe_148,2,2,active,ARFF,33.0,2.0,33.0,2.0,6.0,66.0,0.0,0.0,5.0,1.0
895,895,chscase_geyser1,2,2,active,ARFF,134.0,2.0,88.0,2.0,3.0,222.0,0.0,0.0,2.0,1.0
896,896,fri_c3_500_25,2,2,active,ARFF,280.0,2.0,220.0,2.0,26.0,500.0,0.0,0.0,25.0,1.0
897,897,colleges_aaup,2,2,active,ARFF,813.0,52.0,348.0,2.0,17.0,1161.0,87.0,256.0,13.0,4.0
900,900,chscase_census6,2,2,active,ARFF,235.0,2.0,165.0,2.0,7.0,400.0,0.0,0.0,6.0,1.0
901,901,fried,2,2,active,ARFF,20427.0,2.0,20341.0,2.0,11.0,40768.0,0.0,0.0,10.0,1.0
902,902,sleuth_case2002,2,2,active,ARFF,78.0,2.0,69.0,2.0,7.0,147.0,0.0,0.0,2.0,5.0
903,903,fri_c2_1000_25,2,2,active,ARFF,563.0,2.0,437.0,2.0,26.0,1000.0,0.0,0.0,25.0,1.0
904,904,fri_c0_1000_50,2,2,active,ARFF,510.0,2.0,490.0,2.0,51.0,1000.0,0.0,0.0,50.0,1.0
905,905,chscase_adopt,2,2,active,ARFF,27.0,2.0,12.0,2.0,4.0,39.0,0.0,0.0,2.0,2.0
906,906,chscase_census5,2,2,active,ARFF,207.0,2.0,193.0,2.0,8.0,400.0,0.0,0.0,7.0,1.0
907,907,chscase_census4,2,2,active,ARFF,206.0,2.0,194.0,2.0,8.0,400.0,0.0,0.0,7.0,1.0
908,908,chscase_census3,2,2,active,ARFF,208.0,2.0,192.0,2.0,8.0,400.0,0.0,0.0,7.0,1.0
909,909,chscase_census2,2,2,active,ARFF,203.0,2.0,197.0,2.0,8.0,400.0,0.0,0.0,7.0,1.0
910,910,fri_c1_1000_10,2,2,active,ARFF,564.0,2.0,436.0,2.0,11.0,1000.0,0.0,0.0,10.0,1.0
911,911,fri_c2_250_5,2,2,active,ARFF,140.0,2.0,110.0,2.0,6.0,250.0,0.0,0.0,5.0,1.0
912,912,fri_c2_1000_5,2,2,active,ARFF,584.0,2.0,416.0,2.0,6.0,1000.0,0.0,0.0,5.0,1.0
913,913,fri_c2_1000_10,2,2,active,ARFF,580.0,2.0,420.0,2.0,11.0,1000.0,0.0,0.0,10.0,1.0
914,914,balloon,2,2,active,ARFF,1519.0,2.0,482.0,2.0,3.0,2001.0,0.0,0.0,2.0,1.0
915,915,plasma_retinol,2,2,active,ARFF,182.0,3.0,133.0,2.0,14.0,315.0,0.0,0.0,10.0,4.0
916,916,fri_c3_100_5,2,2,active,ARFF,56.0,2.0,44.0,2.0,6.0,100.0,0.0,0.0,5.0,1.0
917,917,fri_c1_1000_25,2,2,active,ARFF,546.0,2.0,454.0,2.0,26.0,1000.0,0.0,0.0,25.0,1.0
918,918,fri_c4_250_50,2,2,active,ARFF,135.0,2.0,115.0,2.0,51.0,250.0,0.0,0.0,50.0,1.0
919,919,rabe_166,2,2,active,ARFF,21.0,2.0,19.0,2.0,3.0,40.0,0.0,0.0,2.0,1.0
920,920,fri_c2_500_50,2,2,active,ARFF,295.0,2.0,205.0,2.0,51.0,500.0,0.0,0.0,50.0,1.0
921,921,analcatdata_seropositive,2,2,active,ARFF,86.0,3.0,46.0,2.0,4.0,132.0,0.0,0.0,2.0,2.0
922,922,fri_c2_100_50,2,2,active,ARFF,58.0,2.0,42.0,2.0,51.0,100.0,0.0,0.0,50.0,1.0
923,923,visualizing_soil,2,2,active,ARFF,4753.0,2.0,3888.0,2.0,5.0,8641.0,0.0,0.0,3.0,2.0
924,924,humandevel,2,2,active,ARFF,65.0,2.0,65.0,2.0,4.0,130.0,0.0,0.0,2.0,2.0
925,925,visualizing_galaxy,2,2,active,ARFF,175.0,2.0,148.0,2.0,5.0,323.0,0.0,0.0,4.0,1.0
926,926,fri_c0_500_25,2,2,active,ARFF,255.0,2.0,245.0,2.0,26.0,500.0,0.0,0.0,25.0,1.0
927,927,hutsof99_child_witness,2,2,active,ARFF,25.0,2.0,17.0,2.0,17.0,42.0,0.0,0.0,16.0,1.0
928,928,rabe_97,2,2,active,ARFF,25.0,2.0,21.0,2.0,5.0,46.0,0.0,0.0,3.0,2.0
929,929,rabe_176,2,2,active,ARFF,35.0,2.0,35.0,2.0,5.0,70.0,0.0,0.0,4.0,1.0
931,931,disclosure_z,2,2,active,ARFF,348.0,2.0,314.0,2.0,4.0,662.0,0.0,0.0,3.0,1.0
932,932,fri_c4_100_50,2,2,active,ARFF,56.0,2.0,44.0,2.0,51.0,100.0,0.0,0.0,50.0,1.0
933,933,fri_c4_250_25,2,2,active,ARFF,136.0,2.0,114.0,2.0,26.0,250.0,0.0,0.0,25.0,1.0
934,934,socmob,2,2,active,ARFF,900.0,17.0,256.0,2.0,6.0,1156.0,0.0,0.0,1.0,5.0
935,935,fri_c1_250_10,2,2,active,ARFF,140.0,2.0,110.0,2.0,11.0,250.0,0.0,0.0,10.0,1.0
936,936,fri_c3_500_10,2,2,active,ARFF,272.0,2.0,228.0,2.0,11.0,500.0,0.0,0.0,10.0,1.0
937,937,fri_c3_500_50,2,2,active,ARFF,282.0,2.0,218.0,2.0,51.0,500.0,0.0,0.0,50.0,1.0
938,938,sleuth_ex1221,2,2,active,ARFF,23.0,26.0,19.0,2.0,11.0,42.0,0.0,0.0,8.0,3.0
939,939,chscase_whale,2,2,active,ARFF,117.0,2.0,111.0,2.0,10.0,228.0,5.0,20.0,9.0,1.0
941,941,lowbwt,2,2,active,ARFF,99.0,6.0,90.0,2.0,10.0,189.0,0.0,0.0,2.0,8.0
942,942,chscase_health,2,2,active,ARFF,26.0,9.0,24.0,2.0,5.0,50.0,0.0,0.0,2.0,3.0
943,943,fri_c0_500_10,2,2,active,ARFF,259.0,2.0,241.0,2.0,11.0,500.0,0.0,0.0,10.0,1.0
945,945,kidney,2,2,active,ARFF,40.0,4.0,36.0,2.0,7.0,76.0,0.0,0.0,3.0,4.0
946,946,visualizing_ethanol,2,2,active,ARFF,45.0,2.0,43.0,2.0,3.0,88.0,0.0,0.0,2.0,1.0
947,947,arsenic-male-bladder,2,2,active,ARFF,535.0,43.0,24.0,2.0,5.0,559.0,0.0,0.0,3.0,2.0
949,949,arsenic-female-bladder,2,2,active,ARFF,479.0,43.0,80.0,2.0,5.0,559.0,0.0,0.0,3.0,2.0
950,950,arsenic-female-lung,2,2,active,ARFF,540.0,43.0,19.0,2.0,5.0,559.0,0.0,0.0,3.0,2.0
951,951,arsenic-male-lung,2,2,active,ARFF,546.0,43.0,13.0,2.0,5.0,559.0,0.0,0.0,3.0,2.0
952,952,prnn_fglass,1,2,active,ARFF,76.0,6.0,9.0,6.0,10.0,214.0,0.0,0.0,9.0,1.0
953,953,splice,2,2,active,ARFF,1655.0,6.0,1535.0,2.0,62.0,3190.0,0.0,0.0,0.0,62.0
954,954,spectrometer,2,2,active,ARFF,476.0,4.0,55.0,2.0,103.0,531.0,0.0,0.0,100.0,3.0
955,955,tae,2,2,active,ARFF,99.0,2.0,52.0,2.0,6.0,151.0,0.0,0.0,3.0,3.0
956,956,molecular-biology_promoters,2,2,active,ARFF,72.0,4.0,34.0,2.0,59.0,106.0,0.0,0.0,0.0,59.0
958,958,segment,2,2,active,ARFF,1980.0,2.0,330.0,2.0,20.0,2310.0,0.0,0.0,19.0,1.0
959,959,nursery,2,2,active,ARFF,8640.0,5.0,4320.0,2.0,9.0,12960.0,0.0,0.0,0.0,9.0
960,960,postoperative-patient-data,2,2,active,ARFF,64.0,4.0,26.0,2.0,9.0,90.0,3.0,3.0,0.0,9.0
961,961,analcatdata_broadwaymult,2,2,active,ARFF,167.0,95.0,118.0,2.0,8.0,285.0,18.0,27.0,3.0,5.0
962,962,mfeat-morphological,2,2,active,ARFF,1800.0,2.0,200.0,2.0,7.0,2000.0,0.0,0.0,6.0,1.0
964,964,pasture,2,2,active,ARFF,24.0,4.0,12.0,2.0,23.0,36.0,0.0,0.0,21.0,2.0
965,965,zoo,2,2,active,ARFF,60.0,2.0,41.0,2.0,18.0,101.0,0.0,0.0,1.0,17.0
966,966,analcatdata_halloffame,2,2,active,ARFF,1215.0,7.0,125.0,2.0,18.0,1340.0,20.0,20.0,15.0,3.0
967,967,cars,2,2,active,ARFF,254.0,312.0,152.0,2.0,9.0,406.0,14.0,14.0,6.0,3.0
968,968,analcatdata_birthday,2,2,active,ARFF,312.0,31.0,53.0,2.0,4.0,365.0,30.0,30.0,1.0,3.0
969,969,iris,3,2,active,ARFF,100.0,2.0,50.0,2.0,5.0,150.0,0.0,0.0,4.0,1.0
970,970,analcatdata_authorship,2,2,active,ARFF,524.0,2.0,317.0,2.0,71.0,841.0,0.0,0.0,70.0,1.0
971,971,mfeat-fourier,2,2,active,ARFF,1800.0,2.0,200.0,2.0,77.0,2000.0,0.0,0.0,76.0,1.0
972,972,squash-stored,2,2,active,ARFF,29.0,22.0,23.0,2.0,25.0,52.0,2.0,7.0,21.0,4.0
973,973,wine,2,2,active,ARFF,107.0,2.0,71.0,2.0,14.0,178.0,0.0,0.0,13.0,1.0
974,974,hayes-roth,2,2,active,ARFF,81.0,2.0,51.0,2.0,5.0,132.0,0.0,0.0,4.0,1.0
976,976,JapaneseVowels,2,2,active,ARFF,8347.0,2.0,1614.0,2.0,15.0,9961.0,0.0,0.0,14.0,1.0
977,977,letter,2,2,active,ARFF,19187.0,2.0,813.0,2.0,17.0,20000.0,0.0,0.0,16.0,1.0
978,978,mfeat-factors,2,2,active,ARFF,1800.0,2.0,200.0,2.0,217.0,2000.0,0.0,0.0,216.0,1.0
979,979,waveform-5000,2,2,active,ARFF,3308.0,2.0,1692.0,2.0,41.0,5000.0,0.0,0.0,40.0,1.0
980,980,optdigits,2,2,active,ARFF,5048.0,2.0,572.0,2.0,65.0,5620.0,0.0,0.0,64.0,1.0
982,982,heart-c,2,2,active,ARFF,165.0,4.0,138.0,2.0,14.0,303.0,7.0,7.0,6.0,8.0
983,983,cmc,2,2,active,ARFF,844.0,4.0,629.0,2.0,10.0,1473.0,0.0,0.0,2.0,8.0
984,984,analcatdata_draft,2,2,active,ARFF,334.0,12.0,32.0,2.0,6.0,366.0,1.0,1.0,3.0,3.0
986,986,analcatdata_marketing,2,2,active,ARFF,249.0,5.0,115.0,2.0,33.0,364.0,36.0,80.0,0.0,33.0
987,987,collins,2,2,active,ARFF,420.0,15.0,80.0,2.0,24.0,500.0,0.0,0.0,20.0,4.0
988,988,fl2000,2,2,active,ARFF,41.0,2.0,26.0,2.0,16.0,67.0,0.0,0.0,14.0,2.0
991,991,car,2,2,active,ARFF,1210.0,4.0,518.0,2.0,7.0,1728.0,0.0,0.0,0.0,7.0
992,992,analcatdata_broadway,2,2,active,ARFF,68.0,7.0,27.0,2.0,10.0,95.0,6.0,9.0,3.0,7.0
994,994,vehicle,2,2,active,ARFF,628.0,2.0,218.0,2.0,19.0,846.0,0.0,0.0,18.0,1.0
995,995,mfeat-zernike,2,2,active,ARFF,1800.0,2.0,200.0,2.0,48.0,2000.0,0.0,0.0,47.0,1.0
996,996,prnn_fglass,2,2,active,ARFF,138.0,2.0,76.0,2.0,10.0,214.0,0.0,0.0,9.0,1.0
997,997,balance-scale,2,2,active,ARFF,337.0,2.0,288.0,2.0,5.0,625.0,0.0,0.0,4.0,1.0
998,998,analcatdata_bondrate,2,2,active,ARFF,33.0,10.0,24.0,2.0,12.0,57.0,1.0,1.0,4.0,8.0
1004,1004,synthetic_control,2,2,active,ARFF,500.0,2.0,100.0,2.0,62.0,600.0,0.0,0.0,60.0,2.0
1005,1005,glass,2,2,active,ARFF,138.0,2.0,76.0,2.0,10.0,214.0,0.0,0.0,9.0,1.0
1006,1006,lymph,2,2,active,ARFF,81.0,8.0,67.0,2.0,19.0,148.0,0.0,0.0,3.0,16.0
1009,1009,white-clover,2,2,active,ARFF,38.0,7.0,25.0,2.0,32.0,63.0,0.0,0.0,27.0,5.0
1010,1010,dermatology,2,2,active,ARFF,254.0,4.0,112.0,2.0,35.0,366.0,8.0,8.0,1.0,34.0
1011,1011,ecoli,2,2,active,ARFF,193.0,2.0,143.0,2.0,8.0,336.0,0.0,0.0,7.0,1.0
1012,1012,flags,2,2,active,ARFF,125.0,14.0,69.0,2.0,30.0,194.0,0.0,0.0,2.0,28.0
1013,1013,analcatdata_challenger,2,2,active,ARFF,129.0,3.0,9.0,2.0,3.0,138.0,0.0,0.0,1.0,2.0
1014,1014,analcatdata_dmft,2,2,active,ARFF,642.0,9.0,155.0,2.0,5.0,797.0,0.0,0.0,0.0,5.0
1015,1015,confidence,2,2,active,ARFF,60.0,2.0,12.0,2.0,4.0,72.0,0.0,0.0,3.0,1.0
1019,1019,pendigits,2,2,active,ARFF,9848.0,2.0,1144.0,2.0,17.0,10992.0,0.0,0.0,16.0,1.0
1020,1020,mfeat-karhunen,2,2,active,ARFF,1800.0,2.0,200.0,2.0,65.0,2000.0,0.0,0.0,64.0,1.0
1021,1021,page-blocks,2,2,active,ARFF,4913.0,2.0,560.0,2.0,11.0,5473.0,0.0,0.0,10.0,1.0
1022,1022,mfeat-pixel,2,2,active,ARFF,1800.0,7.0,200.0,2.0,241.0,2000.0,0.0,0.0,0.0,241.0
1025,1025,analcatdata_germangss,2,2,active,ARFF,310.0,5.0,90.0,2.0,6.0,400.0,0.0,0.0,0.0,6.0
1026,1026,grub-damage,2,2,active,ARFF,106.0,21.0,49.0,2.0,9.0,155.0,0.0,0.0,2.0,7.0
1038,1038,gina_agnostic,1,2,active,ARFF,1763.0,2.0,1705.0,2.0,971.0,3468.0,0.0,0.0,970.0,1.0
1040,1040,sylva_prior,1,2,active,ARFF,13509.0,2.0,886.0,2.0,109.0,14395.0,0.0,0.0,108.0,1.0
1041,1041,gina_prior2,1,2,active,ARFF,383.0,10.0,315.0,10.0,785.0,3468.0,0.0,0.0,784.0,1.0
1044,1044,eye_movements,1,2,active,ARFF,4262.0,3.0,2870.0,3.0,28.0,10936.0,0.0,0.0,24.0,4.0
1045,1045,kc1-top5,1,2,active,ARFF,137.0,2.0,8.0,2.0,95.0,145.0,0.0,0.0,94.0,1.0
1046,1046,mozilla4,1,2,active,ARFF,10437.0,2.0,5108.0,2.0,6.0,15545.0,0.0,0.0,5.0,1.0
1048,1048,jEdit_4.2_4.3,1,2,active,ARFF,204.0,2.0,165.0,2.0,9.0,369.0,0.0,0.0,8.0,1.0
1054,1054,mc2,1,2,active,ARFF,109.0,2.0,52.0,2.0,40.0,161.0,0.0,0.0,39.0,1.0
1055,1055,cm1_req,1,2,active,ARFF,69.0,3.0,20.0,2.0,9.0,89.0,0.0,0.0,7.0,2.0
1056,1056,mc1,1,2,active,ARFF,9398.0,2.0,68.0,2.0,39.0,9466.0,0.0,0.0,38.0,1.0
1059,1059,ar1,1,2,active,ARFF,112.0,2.0,9.0,2.0,30.0,121.0,0.0,0.0,29.0,1.0
1060,1060,ar3,1,2,active,ARFF,55.0,2.0,8.0,2.0,30.0,63.0,0.0,0.0,29.0,1.0
1061,1061,ar4,1,2,active,ARFF,87.0,2.0,20.0,2.0,30.0,107.0,0.0,0.0,29.0,1.0
1062,1062,ar5,1,2,active,ARFF,28.0,2.0,8.0,2.0,30.0,36.0,0.0,0.0,29.0,1.0
1064,1064,ar6,1,2,active,ARFF,86.0,2.0,15.0,2.0,30.0,101.0,0.0,0.0,29.0,1.0
1065,1065,kc3,1,2,active,ARFF,415.0,2.0,43.0,2.0,40.0,458.0,0.0,0.0,39.0,1.0
1066,1066,kc1-binary,1,2,active,ARFF,85.0,2.0,60.0,2.0,95.0,145.0,0.0,0.0,94.0,1.0
1069,1069,pc2,1,2,active,ARFF,5566.0,2.0,23.0,2.0,37.0,5589.0,0.0,0.0,36.0,1.0
1071,1071,mw1,1,2,active,ARFF,372.0,2.0,31.0,2.0,38.0,403.0,0.0,0.0,37.0,1.0
1073,1073,jEdit_4.0_4.2,1,2,active,ARFF,140.0,2.0,134.0,2.0,9.0,274.0,0.0,0.0,8.0,1.0
1075,1075,datatrieve,1,2,active,ARFF,119.0,2.0,11.0,2.0,9.0,130.0,0.0,0.0,8.0,1.0
1104,1104,leukemia,1,2,active,ARFF,47.0,2.0,25.0,2.0,7130.0,72.0,0.0,0.0,7129.0,1.0
1107,1107,tumors_C,1,2,active,ARFF,39.0,2.0,21.0,2.0,7130.0,60.0,0.0,0.0,7129.0,1.0
1115,1115,teachingAssistant,1,2,active,ARFF,52.0,26.0,49.0,3.0,7.0,151.0,0.0,0.0,2.0,5.0
1116,1116,musk,1,2,active,ARFF,5581.0,102.0,1017.0,2.0,170.0,6598.0,0.0,0.0,167.0,3.0
1117,1117,desharnais,2,2,active,ARFF,46.0,3.0,10.0,3.0,13.0,81.0,0.0,0.0,12.0,1.0
1119,1119,adult-census,1,2,active,ARFF,24720.0,41.0,7841.0,2.0,16.0,32561.0,2399.0,4262.0,7.0,9.0
1120,1120,MagicTelescope,1,2,active,ARFF,12332.0,2.0,6688.0,2.0,12.0,19020.0,0.0,0.0,11.0,1.0
1121,1121,badges2,1,2,active,ARFF,210.0,2.0,84.0,2.0,12.0,294.0,0.0,0.0,8.0,4.0
